name,value,year,lastValue,rank
Chardonnay,835,2018,828.6,2
Chardonnay,828.6,2017.9,822.2,2
Chardonnay,822.2,2017.8,815.8,2
Chardonnay,815.8,2017.7,809.4,2
Chardonnay,809.4,2017.6,803,2
Chardonnay,803,2017.5,796.6,2
Chardonnay,796.6,2017.4,790.2,2
Chardonnay,790.2,2017.3,783.8,2
Chardonnay,783.8,2017.2,777.4,2
Chardonnay,777.4,2017.1,771,2
Chardonnay,771,2017,745.7,2
Chardonnay,745.7,2016.9,720.4,2
Chardonnay,720.4,2016.8,695.1,2
Chardonnay,695.1,2016.7,669.8,2
Chardonnay,669.8,2016.6,644.5,2
Chardonnay,644.5,2016.5,619.2,2
Chardonnay,619.2,2016.4,593.9,2
Chardonnay,593.9,2016.3,568.6,2
Chardonnay,568.6,2016.2,543.3,2
Chardonnay,543.3,2016.1,518,1
Chardonnay,518,2016,501.54,1
Chardonnay,501.54,2015.9,485.08,1
Chardonnay,485.08,2015.8,468.62,1
Chardonnay,468.62,2015.7,452.16,1
Chardonnay,452.16,2015.6,435.7,1
Chardonnay,435.7,2015.5,419.24,1
Chardonnay,419.24,2015.4,402.78,1
Chardonnay,402.78,2015.3,386.32,1
Chardonnay,386.32,2015.2,369.86,1
Chardonnay,369.86,2015.1,353.37,1
Chardonnay,353.37,2015,353,1
Pinot Noir,859,2018,853.4,1
Pinot Noir,853.4,2017.9,847.8,1
Pinot Noir,847.8,2017.8,842.2,1
Pinot Noir,842.2,2017.7,836.6,1
Pinot Noir,836.6,2017.6,831,1
Pinot Noir,831,2017.5,825.4,1
Pinot Noir,825.4,2017.4,819.8,1
Pinot Noir,819.8,2017.3,814.2,1
Pinot Noir,814.2,2017.2,808.6,1
Pinot Noir,808.6,2017.1,803,1
Pinot Noir,803,2017,771,1
Pinot Noir,771,2016.9,739,1
Pinot Noir,739,2016.8,707,1
Pinot Noir,707,2016.7,675,1
Pinot Noir,675,2016.6,643,1
Pinot Noir,643,2016.5,611,1
Pinot Noir,611,2016.4,579,1
Pinot Noir,579,2016.3,547,1
Pinot Noir,547,2016.2,515,2
Pinot Noir,515,2016.1,483.11,2
Pinot Noir,483.11,2016,467.11,2
Pinot Noir,467.11,2015.9,451.11,2
Pinot Noir,451.11,2015.8,435.11,2
Pinot Noir,435.11,2015.7,419.11,2
Pinot Noir,419.11,2015.6,403.11,2
Pinot Noir,403.11,2015.5,387.11,2
Pinot Noir,387.11,2015.4,371.11,2
Pinot Noir,371.11,2015.3,355.11,2
Pinot Noir,355.11,2015.2,339.11,2
Pinot Noir,339.11,2015.1,323.14,2
Pinot Noir,323.14,2015,323.14,2
